medicine_shape_seq,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤
578,,T8,,타원형,하양,분홍
579,,마크,一,원형,하양,
580,,마크,4,타원형,하양,
581,,OL10D-W,,원형,하양,
582,,경동 E20,,장방형,남색,남색
583,,마크,,원형,노랑,
584,,마크,2+,원형,주황,
585,,타이쿨에프,,장방형,"빨강, 투명",
586,,SNP BG,,장방형,갈색,
587,,VAC,,타원형,분홍,
588,,VACH,,타원형,빨강,
589,,CAMD,,장방형,노랑,
590,,BMS100,852,타원형,하양,
591,,OG OG29 29,,장방형,하양,하양
592,,마크,150,타원형,하양,
593,,마크,300,타원형,하양,
594,,A-W 15,,원형,노랑,
595,,A-W 10,,타원형,분홍,
596,,SNP CT,,장방형,갈색,
597,,OL2.5D-W,,원형,하양,
598,,미리콜,,장방형,"청록, 투명",
599,,FVT,,원형,하양,
600,,FVTS,,원형,노랑,
601,,FVTH,,원형,하양,
602,,OL5D-W,,원형,하양,
603,,AG,5D,타원형,하양,
604,,마크,R,원형,분홍,
605,,CA CM,,타원형,하양,
606,,ASP75,,원형,하양,
607,,U분할선T,I,원형,하양,
608,,HS,H분할선S,원형,하양,
609,,KS NC,,장방형,주황,
610,,VH80,UT,타원형,분홍,
611,,LVZ,분할선,원형,하양,
612,,MTL,30,타원형,분홍,
613,,마크,,삼각형,노랑,
614,,T분할선Λ,,장방형,빨강,
615,,MM,VTH,타원형,분홍,
616,,MM,VTH,타원형,빨강,
617,,HN분할선B5,,팔각형,하양,
618,,DAHP,,장방형,하양,
619,,HIBFS,,타원형,"청록, 투명",
620,,분할선,YJ2,원형,하양,
621,,PV,분할선,원형,하양,
622,,분할선,PIT,원형,하양,
623,,마크,분할선,원형,분홍,
624,,ID2,분할선,원형,분홍,
625,,PITA,분할선,원형,분홍,
626,,WI,분할선,원형,하양,
627,,마크,PS,원형,하양,
628,,BIP,분할선,원형,하양,
629,,마크,분할선,원형,하양,
630,,KII,분할선,원형,하양,
631,,DC,TN,타원형,하양,
632,,D-W,TN,타원형,하양,
633,,HL,V＋2,타원형,빨강,
